reference	metric_key	metric_label	model	paper_id	value
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Native-Sparse-Attention	5.489823
Sonnet-4.6	kl_divergence	KL	gemma3:4b	QR	1.025944
Sonnet-4.6	kl_divergence	KL	gemma3:4b	RRR	0.702888
Sonnet-4.6	kl_divergence	KL	gemma3:4b	RSR-Core	0.399593
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Random_access_Retrieval-5	0.744532
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Rankit-Askit	3.395097
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Reg-Min-Rep	0.894472
Sonnet-4.6	kl_divergence	KL	gemma3:4b	Trojan-LLM	3.179300
Sonnet-4.6	kl_divergence	KL	gemma3:4b	adv_res_paper	1.421842
Sonnet-4.6	kl_divergence	KL	gemma3:4b	auto-relate	0.920912
Sonnet-4.6	kl_divergence	KL	gemma3:4b	axolotl	1.049831
Sonnet-4.6	kl_divergence	KL	gemma3:4b	divergent-thinking	3.661836
Sonnet-4.6	kl_divergence	KL	gemma3:4b	eff-approx-query	0.862588
Sonnet-4.6	kl_divergence	KL	gemma3:4b	exp-ranking	0.956302
Sonnet-4.6	kl_divergence	KL	gemma3:4b	fairRQ	0.687759
Sonnet-4.6	kl_divergence	KL	gemma3:4b	local-stab-ranking	1.325276
Sonnet-4.6	kl_divergence	KL	gemma3:4b	mm-mlp	0.829696
Sonnet-4.6	kl_divergence	KL	gemma3:4b	multi-agent-collab	1.403520
Sonnet-4.6	kl_divergence	KL	gemma3:4b	query-refine	0.663609
Sonnet-4.6	kl_divergence	KL	gemma3:4b	ranked-ret	0.821914
Sonnet-4.6	kl_divergence	KL	gemma3:4b	reg-ratio	0.768363
Sonnet-4.6	kl_divergence	KL	gemma3:4b	requal	1.998710
Sonnet-4.6	kl_divergence	KL	gemma3:4b	shapley	0.821675
Sonnet-4.6	kl_divergence	KL	gemma3:4b	synthesize-score	2.687467
Sonnet-4.6	kl_divergence	KL	gemma3:4b	uncertainty-LLM	1.553678
Sonnet-4.6	kl_divergence	KL	gemma3:4b	unf-prms	0.582349
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	AFD	5.062705
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	AlgorithmicCollectiveAction	9.974612
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Corba-LLM	0.516880
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	DyLAN	0.750654
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Dynamic-role-MA-LLM	6.972947
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Dynamic_Necklace_Splitting	2.162660
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Efficient-MM-Algo	12.872372
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	FCM_SIGMOD_CRV	1.659099
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Fair-Prompt-LLM	0.458361
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	FairSetCover	9.346277
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Fair_Epsilon_Net	2.256448
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Fairness-Expo-Rankings	2.486567
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Fast-Monte-Carlo	2.132574
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Gen-LLM	0.727522
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	HENN_ICLR_26-1	1.657449
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	INFINI-GRAM-MINI	2.970492
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Interactive-Learning	0.980317
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	LLM-Blender	0.570514
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	LSH-Curves	1.540839
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	MA-LLM-Debias	0.431852
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	MA-LLM-Judge	1.396953
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	MA-LLM-attack	0.573910
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Minoria	1.521568
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	MoA	0.671131
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Native-Sparse-Attention	7.385205
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	QR	0.568283
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	RRR	1.551747
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	RSR-Core	0.777769
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Random_access_Retrieval-5	2.543232
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Rankit-Askit	2.438387
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Reg-Min-Rep	0.571883
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	Trojan-LLM	2.958015
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	adv_res_paper	2.035952
