model	k	metric	mean	sem
gemma3:4b	2	Hit@k	0.5600	0.0709
gemma3:4b	2	nDCG@k	0.3576	0.0523
gemma3:4b	3	Overlap@k	1.0800	0.1207
gemma3:4b	3	Recall@k	0.3600	0.0402
gemma3:4b	3	Hit@k	0.7000	0.0655
gemma3:4b	3	nDCG@k	0.4209	0.0483
gemma3:4b	4	Overlap@k	1.4600	0.1435
gemma3:4b	4	Recall@k	0.3650	0.0359
gemma3:4b	4	Hit@k	0.7800	0.0592
gemma3:4b	4	nDCG@k	0.4378	0.0462
gemma3:4b	5	Overlap@k	1.8600	0.1565
gemma3:4b	5	Recall@k	0.3720	0.0313
gemma3:4b	5	Hit@k	0.8400	0.0524
gemma3:4b	5	nDCG@k	0.4541	0.0443
gemma3:4b	6	Overlap@k	2.3600	0.1824
gemma3:4b	6	Recall@k	0.3933	0.0304
gemma3:4b	6	Hit@k	0.8800	0.0464
gemma3:4b	6	nDCG@k	0.4765	0.0419
gemma3:4b	7	Overlap@k	3.0200	0.2090
gemma3:4b	7	Recall@k	0.4314	0.0299
gemma3:4b	7	Hit@k	0.9200	0.0388
gemma3:4b	7	nDCG@k	0.4903	0.0417
gemma3:4b	8	Overlap@k	3.7000	0.2218
gemma3:4b	8	Recall@k	0.4625	0.0277
gemma3:4b	8	Hit@k	0.9800	0.0200
gemma3:4b	8	nDCG@k	0.5007	0.0404
qwen3:1.7b	1	Overlap@k	0.3200	0.0666
qwen3:1.7b	1	Recall@k	0.3200	0.0666
qwen3:1.7b	1	Hit@k	0.3200	0.0666
qwen3:1.7b	1	nDCG@k	0.3200	0.0666
qwen3:1.7b	2	Overlap@k	0.8000	0.0948
qwen3:1.7b	2	Recall@k	0.4000	0.0474
qwen3:1.7b	2	Hit@k	0.6600	0.0677
qwen3:1.7b	2	nDCG@k	0.4287	0.0537
qwen3:1.7b	3	Overlap@k	1.2800	0.1179
qwen3:1.7b	3	Recall@k	0.4267	0.0393
qwen3:1.7b	3	Hit@k	0.8200	0.0549
qwen3:1.7b	3	nDCG@k	0.4879	0.0486
qwen3:1.7b	4	Overlap@k	1.8800	0.1418
qwen3:1.7b	4	Recall@k	0.4700	0.0355
qwen3:1.7b	4	Hit@k	0.8800	0.0464
qwen3:1.7b	4	nDCG@k	0.5390	0.0421
qwen3:1.7b	5	Overlap@k	2.4400	0.1569
qwen3:1.7b	5	Recall@k	0.4880	0.0314
qwen3:1.7b	5	Hit@k	0.9200	0.0388
qwen3:1.7b	5	nDCG@k	0.5643	0.0409
qwen3:1.7b	6	Overlap@k	3.0400	0.1829
qwen3:1.7b	6	Recall@k	0.5067	0.0305
qwen3:1.7b	6	Hit@k	0.9600	0.0280
qwen3:1.7b	6	nDCG@k	0.5785	0.0399
qwen3:1.7b	7	Overlap@k	3.6400	0.1756
qwen3:1.7b	7	Recall@k	0.5200	0.0251
qwen3:1.7b	7	Hit@k	1.0000	0.0000
qwen3:1.7b	7	nDCG@k	0.5939	0.0380
qwen3:1.7b	8	Overlap@k	4.2000	0.1917
qwen3:1.7b	8	Recall@k	0.5250	0.0240
qwen3:1.7b	8	Hit@k	1.0000	0.0000
qwen3:1.7b	8	nDCG@k	0.6019	0.0374
qwen3:4b	1	Overlap@k	0.2600	0.0627
qwen3:4b	1	Recall@k	0.2600	0.0627
qwen3:4b	1	Hit@k	0.2600	0.0627
qwen3:4b	1	nDCG@k	0.2600	0.0627
qwen3:4b	2	Overlap@k	0.8800	0.0975
qwen3:4b	2	Recall@k	0.4400	0.0487
qwen3:4b	2	Hit@k	0.7000	0.0655
qwen3:4b	2	nDCG@k	0.4393	0.0514
qwen3:4b	3	Overlap@k	1.2600	0.1062
qwen3:4b	3	Recall@k	0.4200	0.0354
qwen3:4b	3	Hit@k	0.8400	0.0524
qwen3:4b	3	nDCG@k	0.4821	0.0459
qwen3:4b	4	Overlap@k	1.7000	0.1286
qwen3:4b	4	Recall@k	0.4250	0.0321
qwen3:4b	4	Hit@k	0.9200	0.0388
qwen3:4b	4	nDCG@k	0.5265	0.0401
qwen3:4b	5	Overlap@k	2.3000	0.1464
qwen3:4b	5	Recall@k	0.4600	0.0293
qwen3:4b	5	Hit@k	0.9600	0.0280
qwen3:4b	5	nDCG@k	0.5521	0.0380
qwen3:4b	6	Overlap@k	2.8600	0.1539
qwen3:4b	6	Recall@k	0.4767	0.0256
qwen3:4b	6	Hit@k	0.9800	0.0200
qwen3:4b	6	nDCG@k	0.5655	0.0371
qwen3:4b	7	Overlap@k	3.3000	0.1597
qwen3:4b	7	Recall@k	0.4714	0.0228
qwen3:4b	7	Hit@k	0.9800	0.0200
qwen3:4b	7	nDCG@k	0.5667	0.0366
qwen3:4b	8	Overlap@k	3.9600	0.1958
qwen3:4b	8	Recall@k	0.4950	0.0245
qwen3:4b	8	Hit@k	0.9800	0.0200
qwen3:4b	8	nDCG@k	0.5697	0.0364
phi3:medium	1	Overlap@k	0.2400	0.0610
phi3:medium	1	Recall@k	0.2400	0.0610
phi3:medium	1	Hit@k	0.2400	0.0610
phi3:medium	1	nDCG@k	0.2400	0.0610
phi3:medium	2	Overlap@k	0.7800	0.1153
phi3:medium	2	Recall@k	0.3900	0.0577
phi3:medium	2	Hit@k	0.5400	0.0712
phi3:medium	2	nDCG@k	0.3828	0.0575
phi3:medium	3	Overlap@k	1.1400	0.1246
phi3:medium	3	Recall@k	0.3800	0.0415
phi3:medium	3	Hit@k	0.7200	0.0641
phi3:medium	3	nDCG@k	0.4397	0.0510
phi3:medium	4	Overlap@k	1.5600	0.1404
phi3:medium	4	Recall@k	0.3900	0.0351
phi3:medium	4	Hit@k	0.8200	0.0549
phi3:medium	4	nDCG@k	0.4799	0.0472
phi3:medium	5	Overlap@k	2.0800	0.1534
phi3:medium	5	Recall@k	0.4160	0.0307
phi3:medium	5	Hit@k	0.8800	0.0464
phi3:medium	5	nDCG@k	0.5028	0.0448
phi3:medium	6	Overlap@k	2.6600	0.1887
phi3:medium	6	Recall@k	0.4433	0.0314
phi3:medium	6	Hit@k	0.9000	0.0429
phi3:medium	6	nDCG@k	0.5129	0.0440
phi3:medium	7	Overlap@k	3.3000	0.2104
phi3:medium	7	Recall@k	0.4714	0.0301
phi3:medium	7	Hit@k	0.9400	0.0339
phi3:medium	7	nDCG@k	0.5340	0.0423
phi3:medium	8	Overlap@k	4.0000	0.2060
phi3:medium	8	Recall@k	0.5000	0.0258
