metric_key	metric_label	model	paper_id	anchor_value	model_value	plotted_difference
kl_divergence	KL	gemma3:4b	Native-Sparse-Attention	3.622281	5.489823	1.867541
kl_divergence	KL	gemma3:4b	QR	0.858967	1.025944	0.166977
kl_divergence	KL	gemma3:4b	RRR	0.886873	0.702888	-0.183985
kl_divergence	KL	gemma3:4b	RSR-Core	0.173938	0.399593	0.225656
kl_divergence	KL	gemma3:4b	Random_access_Retrieval-5	0.721678	0.744532	0.022854
kl_divergence	KL	gemma3:4b	Rankit-Askit	0.728295	3.395097	2.666801
kl_divergence	KL	gemma3:4b	Reg-Min-Rep	0.483147	0.894472	0.411325
kl_divergence	KL	gemma3:4b	Trojan-LLM	3.025131	3.179300	0.154169
kl_divergence	KL	gemma3:4b	adv_res_paper	0.789675	1.421842	0.632167
kl_divergence	KL	gemma3:4b	auto-relate	0.584841	0.920912	0.336071
kl_divergence	KL	gemma3:4b	axolotl	0.475805	1.049831	0.574027
kl_divergence	KL	gemma3:4b	divergent-thinking	5.259591	3.661836	-1.597755
kl_divergence	KL	gemma3:4b	eff-approx-query	0.511388	0.862588	0.351200
kl_divergence	KL	gemma3:4b	exp-ranking	0.585458	0.956302	0.370845
kl_divergence	KL	gemma3:4b	fairRQ	0.725360	0.687759	-0.037600
kl_divergence	KL	gemma3:4b	local-stab-ranking	0.554304	1.325276	0.770972
kl_divergence	KL	gemma3:4b	mm-mlp	0.343839	0.829696	0.485857
kl_divergence	KL	gemma3:4b	multi-agent-collab	0.827290	1.403520	0.576230
kl_divergence	KL	gemma3:4b	query-refine	1.588387	0.663609	-0.924779
kl_divergence	KL	gemma3:4b	ranked-ret	0.698652	0.821914	0.123262
kl_divergence	KL	gemma3:4b	reg-ratio	0.309675	0.768363	0.458689
kl_divergence	KL	gemma3:4b	requal	0.192478	1.998710	1.806232
kl_divergence	KL	gemma3:4b	shapley	0.435028	0.821675	0.386647
kl_divergence	KL	gemma3:4b	synthesize-score	2.489691	2.687467	0.197776
kl_divergence	KL	gemma3:4b	uncertainty-LLM	1.271195	1.553678	0.282483
kl_divergence	KL	gemma3:4b	unf-prms	0.477641	0.582349	0.104708
kl_divergence	KL	llama3.2:1b	AFD	0.667720	5.062705	4.394985
kl_divergence	KL	llama3.2:1b	AlgorithmicCollectiveAction	1.073621	9.974612	8.900990
kl_divergence	KL	llama3.2:1b	Corba-LLM	0.359839	0.516880	0.157041
kl_divergence	KL	llama3.2:1b	DyLAN	0.391522	0.750654	0.359132
kl_divergence	KL	llama3.2:1b	Dynamic-role-MA-LLM	6.758754	6.972947	0.214193
kl_divergence	KL	llama3.2:1b	Dynamic_Necklace_Splitting	2.010115	2.162660	0.152545
kl_divergence	KL	llama3.2:1b	Efficient-MM-Algo	12.922940	12.872372	-0.050568
kl_divergence	KL	llama3.2:1b	FCM_SIGMOD_CRV	1.075480	1.659099	0.583619
kl_divergence	KL	llama3.2:1b	Fair-Prompt-LLM	1.301805	0.458361	-0.843444
kl_divergence	KL	llama3.2:1b	FairSetCover	0.931124	9.346277	8.415153
kl_divergence	KL	llama3.2:1b	Fair_Epsilon_Net	0.843227	2.256448	1.413221
kl_divergence	KL	llama3.2:1b	Fairness-Expo-Rankings	1.050558	2.486567	1.436009
