metric_key	metric_label	model	sort_rank	is_baseline	primary_reference	primary_mean	primary_ci_low	primary_ci_high	secondary_reference	secondary_mean	secondary_ci_low	secondary_ci_high	papers_evaluated
kl_divergence	KL	qwen3:1.7b	1	no	Sonnet-4.6	1.354743	0.884732	2.041970	gpt-oss-120b	1.529864	1.032819	2.113195	50
kl_divergence	KL	gemma2:2b	2	no	Sonnet-4.6	1.586842	1.115844	2.244408	gpt-oss-120b	1.667464	1.169155	2.258955	50
kl_divergence	KL	phi3:medium	3	no	Sonnet-4.6	1.606471	1.117742	2.275403	gpt-oss-120b	1.768196	1.171496	2.477715	50
kl_divergence	KL	qwen3:4b	4	no	Sonnet-4.6	1.679305	1.130520	2.387471	gpt-oss-120b	1.774200	1.181393	2.464510	50
kl_divergence	KL	gemma3:4b	5	no	Sonnet-4.6	1.807881	1.312827	2.474064	gpt-oss-120b	1.896500	1.416379	2.438211	50
kl_divergence	KL	qwen2.5:3b	6	no	Sonnet-4.6	1.948654	1.365067	2.678595	gpt-oss-120b	2.046665	1.442454	2.714878	50
kl_divergence	KL	llama3.2:3b	7	no	Sonnet-4.6	2.278838	1.786611	2.925373	gpt-oss-120b	2.446444	1.882653	3.061282	50
kl_divergence	KL	llama3.2:1b	8	no	Sonnet-4.6	2.398701	1.720364	3.210817	gpt-oss-120b	2.459093	1.736950	3.283474	50
kl_divergence	KL	Citation freq.	9	yes	Sonnet-4.6	7.380374	6.039424	8.765386	gpt-oss-120b	7.814335	6.452791	9.174438	50
kl_divergence	KL	Length-wtd. freq.	10	yes	Sonnet-4.6	7.753568	6.339943	9.262546	gpt-oss-120b	8.049366	6.641340	9.521237	50
jensen_shannon_divergence	JSD	qwen3:1.7b	1	no	Sonnet-4.6	0.135368	0.116881	0.155813	gpt-oss-120b	0.143541	0.122486	0.165524	50
jensen_shannon_divergence	JSD	qwen3:4b	2	no	Sonnet-4.6	0.148411	0.129520	0.169039	gpt-oss-120b	0.156501	0.134288	0.180363	50
jensen_shannon_divergence	JSD	phi3:medium	3	no	Sonnet-4.6	0.162519	0.139921	0.188167	gpt-oss-120b	0.163801	0.140515	0.189139	50
jensen_shannon_divergence	JSD	qwen2.5:3b	4	no	Sonnet-4.6	0.165498	0.143888	0.189178	gpt-oss-120b	0.170922	0.146957	0.195441	50
jensen_shannon_divergence	JSD	gemma2:2b	5	no	Sonnet-4.6	0.166125	0.146146	0.188162	gpt-oss-120b	0.165803	0.140130	0.193345	50
jensen_shannon_divergence	JSD	llama3.2:1b	6	no	Sonnet-4.6	0.188284	0.163750	0.213977	gpt-oss-120b	0.195211	0.169484	0.222790	50
jensen_shannon_divergence	JSD	gemma3:4b	7	no	Sonnet-4.6	0.188934	0.165305	0.214616	gpt-oss-120b	0.194737	0.171684	0.218659	50
jensen_shannon_divergence	JSD	llama3.2:3b	8	no	Sonnet-4.6	0.200045	0.178330	0.222876	gpt-oss-120b	0.211062	0.186480	0.236838	50
jensen_shannon_divergence	JSD	Citation freq.	9	yes	Sonnet-4.6	0.237268	0.205058	0.271909	gpt-oss-120b	0.246247	0.209378	0.285359	50
