model	model_tag	papers_evaluated	mean_kl_divergence	mean_kl_divergence_ci_low	mean_kl_divergence_ci_high	median_kl_divergence	std_kl_divergence	mean_jensen_shannon_divergence	mean_jensen_shannon_divergence_ci_low	mean_jensen_shannon_divergence_ci_high	mean_spearman	mean_spearman_ci_low	mean_spearman_ci_high	mean_kendall_tau_b	mean_kendall_tau_b_ci_low	mean_kendall_tau_b_ci_high	mean_top_4_overlap_count	mean_top_4_overlap_count_ci_low	mean_top_4_overlap_count_ci_high	mean_top_4_overlap_fraction	mean_top_4_overlap_fraction_ci_low	mean_top_4_overlap_fraction_ci_high	selection_rank_sum	is_recommended
qwen3:1.7b	qwen3_1_7_promptv2	27	0.966727	0.676120	1.378544	0.689604	0.958772	0.161246	0.118617	0.216051	0.461437	0.368476	0.547344	0.369965	0.291967	0.443065	2.037037	1.666667	2.407407	0.509259	0.416667	0.601852	10	yes
qwen3:4b	qwen3_4b_promptv2	27	1.111130	0.636703	1.729619	0.504769	1.475768	0.150380	0.104733	0.205952	0.501999	0.400852	0.596390	0.394314	0.315659	0.475337	2.185185	1.777778	2.555556	0.546296	0.453704	0.638889	12	no
gemma2:2b	gemma2_2b_promptv2	27	1.248859	0.882141	1.728908	0.840196	1.128207	0.185606	0.141081	0.238109	0.393382	0.308562	0.473843	0.314205	0.241300	0.384681	1.925926	1.629630	2.222222	0.481481	0.407407	0.555556	20	no
gemma3:4b	gemma3_4b_promptv2	27	1.257522	0.909435	1.644874	0.907449	0.989188	0.198440	0.156362	0.249186	0.372998	0.281789	0.462947	0.295956	0.222760	0.369505	1.851852	1.444444	2.222222	0.462963	0.361111	0.555556	25	no
phi3:medium	phi3_medium_promptv2	27	1.171188	0.777128	1.654124	0.791116	1.198104	0.173898	0.131289	0.227303	0.359999	0.269974	0.445056	0.276855	0.204008	0.348219	1.851852	1.444444	2.259259	0.462963	0.361111	0.564815	25	no
qwen2.5:3b	qwen2_5_3b_promptv2	27	1.707364	1.191406	2.297951	1.175754	1.502095	0.194493	0.151676	0.246163	0.351868	0.270070	0.431297	0.264709	0.199811	0.327496	1.851852	1.444444	2.259259	0.462963	0.361111	0.564815	36	no
llama3.2:3b	llama3_2_promptv2	27	2.050503	1.598748	2.536489	1.763439	1.271733	0.214647	0.177694	0.262010	0.351480	0.265041	0.434893	0.263537	0.194403	0.329895	1.592593	1.222222	1.962963	0.398148	0.305556	0.490741	41	no
llama3.2:1b	llama3_2_1b_promptv2	27	2.831920	2.022539	3.706853	1.831011	2.310502	0.219312	0.174585	0.272423	0.254682	0.141103	0.363894	0.193368	0.101976	0.282452	1.777778	1.444444	2.111111	0.444444	0.361111	0.527778	47	no
