model	model_tag	papers_evaluated	mean_kl_divergence	mean_kl_divergence_ci_low	mean_kl_divergence_ci_high	median_kl_divergence	std_kl_divergence	mean_jensen_shannon_divergence	mean_jensen_shannon_divergence_ci_low	mean_jensen_shannon_divergence_ci_high	mean_spearman	mean_spearman_ci_low	mean_spearman_ci_high	mean_kendall_tau_b	mean_kendall_tau_b_ci_low	mean_kendall_tau_b_ci_high	mean_top_4_overlap_count	mean_top_4_overlap_count_ci_low	mean_top_4_overlap_count_ci_high	mean_top_4_overlap_fraction	mean_top_4_overlap_fraction_ci_low	mean_top_4_overlap_fraction_ci_high	selection_rank_sum	is_recommended
qwen3:1.7b	qwen3_1_7_promptv2,qwen3_1_7b_promptv2_retry8	50	1.354743	0.884732	2.041970	0.726827	2.075619	0.135368	0.116881	0.155813	0.490106	0.432707	0.541839	0.377137	0.329238	0.423879	1.880000	1.600000	2.140000	0.470000	0.400000	0.540000	8	yes
qwen3:4b	qwen3_4b_promptv2,qwen3_4b_promptv2_retry8	50	1.679305	1.130520	2.387471	1.118240	2.232418	0.148411	0.129520	0.169039	0.396830	0.325578	0.465518	0.298503	0.242494	0.353251	1.700000	1.460000	1.960000	0.425000	0.365000	0.490000	21	no
qwen2.5:3b	qwen2_5_3b_promptv2,qwen2_5_3b_promptv2_retry8	50	1.948654	1.365067	2.678595	1.147936	2.366970	0.165498	0.143888	0.189178	0.401201	0.336785	0.462623	0.298097	0.246833	0.348684	1.820000	1.520000	2.120000	0.455000	0.380000	0.530000	24	no
gemma2:2b	gemma2_2b_promptv2,gemma2_2b_promptv2_retry8	50	1.586842	1.115844	2.244408	0.997029	2.032427	0.166125	0.146146	0.188162	0.367260	0.309192	0.422406	0.276757	0.230933	0.320433	1.600000	1.340000	1.840000	0.400000	0.340000	0.465000	25	no
phi3:medium	phi3_medium_promptv2,phi3_med_promptv2,phi3_medium_promptv2_retry8	50	1.606471	1.117742	2.275403	0.968631	2.093480	0.162519	0.139921	0.188167	0.376776	0.314518	0.436820	0.277867	0.228361	0.325956	1.560000	1.280000	1.840000	0.390000	0.320000	0.460000	25	no
llama3.2:3b	llama3_2_promptv2,llama3_2_3b_promptv2,llama3_2_3b_promptv2_retry8	50	2.278838	1.786611	2.925373	1.838171	1.997939	0.200045	0.178330	0.222876	0.370624	0.303082	0.433464	0.274300	0.220029	0.325168	1.380000	1.100000	1.660000	0.345000	0.275000	0.415000	35	no
gemma3:4b	gemma3_4b_promptv2,gemma3_4b_promptv2_retry8	50	1.807881	1.312827	2.474064	1.004181	2.077273	0.188934	0.165305	0.214616	0.321569	0.250225	0.390263	0.242072	0.184711	0.297142	1.460000	1.180000	1.740000	0.365000	0.295000	0.440000	39	no
llama3.2:1b	llama3_2_1b_promptv2,llama3_2_1b_promptv2_retry8	50	2.398701	1.720364	3.210817	1.604598	2.648162	0.188284	0.163750	0.213977	0.345424	0.273142	0.414176	0.252750	0.199629	0.304383	1.700000	1.420000	1.980000	0.425000	0.355000	0.495000	39	no
