model	k	metric	mean	sem
gemma3:4b	2	MRR@k	0.1786	0.0587
gemma3:4b	3	Overlap@k	0.9286	0.1354
gemma3:4b	3	Recall@k	0.3095	0.0451
gemma3:4b	3	Hit@k	0.7143	0.0869
gemma3:4b	3	MRR@k	0.2262	0.0576
gemma3:4b	4	Overlap@k	1.3214	0.1631
gemma3:4b	4	Recall@k	0.3304	0.0408
gemma3:4b	4	Hit@k	0.8214	0.0737
gemma3:4b	4	MRR@k	0.2530	0.0556
gemma3:4b	5	Overlap@k	1.5714	0.1954
gemma3:4b	5	Recall@k	0.3143	0.0391
gemma3:4b	5	Hit@k	0.8214	0.0737
gemma3:4b	5	MRR@k	0.2601	0.0549
gemma3:4b	6	Overlap@k	2.0714	0.2296
gemma3:4b	6	Recall@k	0.3452	0.0383
gemma3:4b	6	Hit@k	0.9286	0.0496
gemma3:4b	6	MRR@k	0.2720	0.0534
gemma3:4b	7	Overlap@k	2.6071	0.2640
gemma3:4b	7	Recall@k	0.3724	0.0377
gemma3:4b	7	Hit@k	0.9643	0.0357
gemma3:4b	7	MRR@k	0.2720	0.0534
gemma3:4b	8	Overlap@k	3.0000	0.2955
gemma3:4b	8	Recall@k	0.3750	0.0369
gemma3:4b	8	Hit@k	0.9643	0.0357
gemma3:4b	8	MRR@k	0.2720	0.0534
qwen3:1.7b	1	Overlap@k	0.2500	0.0833
qwen3:1.7b	1	Recall@k	0.2500	0.0833
qwen3:1.7b	1	Hit@k	0.2500	0.0833
qwen3:1.7b	1	MRR@k	0.2500	0.0833
qwen3:1.7b	2	Overlap@k	0.6786	0.1156
qwen3:1.7b	2	Recall@k	0.3393	0.0578
qwen3:1.7b	2	Hit@k	0.6071	0.0940
qwen3:1.7b	2	MRR@k	0.2857	0.0830
qwen3:1.7b	3	Overlap@k	1.0000	0.1361
qwen3:1.7b	3	Recall@k	0.3333	0.0454
qwen3:1.7b	3	Hit@k	0.7500	0.0833
qwen3:1.7b	3	MRR@k	0.3095	0.0816
qwen3:1.7b	4	Overlap@k	1.3571	0.1798
qwen3:1.7b	4	Recall@k	0.3393	0.0449
qwen3:1.7b	4	Hit@k	0.7857	0.0790
qwen3:1.7b	4	MRR@k	0.3274	0.0801
qwen3:1.7b	5	Overlap@k	1.7857	0.2204
qwen3:1.7b	5	Recall@k	0.3571	0.0441
qwen3:1.7b	5	Hit@k	0.8929	0.0595
qwen3:1.7b	5	MRR@k	0.3274	0.0801
qwen3:1.7b	6	Overlap@k	2.1429	0.2557
qwen3:1.7b	6	Recall@k	0.3571	0.0426
qwen3:1.7b	6	Hit@k	0.9643	0.0357
qwen3:1.7b	6	MRR@k	0.3274	0.0801
qwen3:1.7b	7	Overlap@k	2.5714	0.2974
qwen3:1.7b	7	Recall@k	0.3673	0.0425
qwen3:1.7b	7	Hit@k	0.9643	0.0357
qwen3:1.7b	7	MRR@k	0.3325	0.0795
qwen3:1.7b	8	Overlap@k	2.9286	0.3209
qwen3:1.7b	8	Recall@k	0.3661	0.0401
qwen3:1.7b	8	Hit@k	0.9643	0.0357
qwen3:1.7b	8	MRR@k	0.3325	0.0795
phi3:medium	1	Overlap@k	0.2143	0.0790
phi3:medium	1	Recall@k	0.2143	0.0790
phi3:medium	1	Hit@k	0.2143	0.0790
phi3:medium	1	MRR@k	0.2143	0.0790
phi3:medium	2	Overlap@k	0.6786	0.1265
phi3:medium	2	Recall@k	0.3393	0.0633
phi3:medium	2	Hit@k	0.5714	0.0952
phi3:medium	2	MRR@k	0.2857	0.0790
phi3:medium	3	Overlap@k	0.7857	0.1395
phi3:medium	3	Recall@k	0.2619	0.0465
phi3:medium	3	Hit@k	0.6071	0.0940
phi3:medium	3	MRR@k	0.2857	0.0790
phi3:medium	4	Overlap@k	1.2500	0.1828
phi3:medium	4	Recall@k	0.3125	0.0457
phi3:medium	4	Hit@k	0.7500	0.0833
phi3:medium	4	MRR@k	0.2946	0.0783
phi3:medium	5	Overlap@k	1.5357	0.2024
phi3:medium	5	Recall@k	0.3071	0.0405
phi3:medium	5	Hit@k	0.7857	0.0790
phi3:medium	5	MRR@k	0.3089	0.0769
phi3:medium	6	Overlap@k	1.8571	0.2165
phi3:medium	6	Recall@k	0.3095	0.0361
phi3:medium	6	Hit@k	0.8571	0.0673
phi3:medium	6	MRR@k	0.3149	0.0762
phi3:medium	7	Overlap@k	2.3571	0.2683
phi3:medium	7	Recall@k	0.3367	0.0383
phi3:medium	7	Hit@k	0.9286	0.0496
phi3:medium	7	MRR@k	0.3149	0.0762
phi3:medium	8	Overlap@k	2.8929	0.2786
phi3:medium	8	Recall@k	0.3616	0.0348
phi3:medium	8	Hit@k	0.9643	0.0357
phi3:medium	8	MRR@k	0.3193	0.0757
qwen2.5:3b	1	Overlap@k	0.1429	0.0673
qwen2.5:3b	1	Recall@k	0.1429	0.0673
qwen2.5:3b	1	Hit@k	0.1429	0.0673
qwen2.5:3b	1	MRR@k	0.1429	0.0673
qwen2.5:3b	2	Overlap@k	0.5714	0.1082
qwen2.5:3b	2	Recall@k	0.2857	0.0541
qwen2.5:3b	2	Hit@k	0.5357	0.0960
qwen2.5:3b	2	MRR@k	0.2321	0.0703
qwen2.5:3b	3	Overlap@k	0.9286	0.1448
qwen2.5:3b	3	Recall@k	0.3095	0.0483
qwen2.5:3b	3	Hit@k	0.6786	0.0899
qwen2.5:3b	3	MRR@k	0.2798	0.0681
qwen2.5:3b	4	Overlap@k	1.3571	0.2006
qwen2.5:3b	4	Recall@k	0.3393	0.0502
qwen2.5:3b	4	Hit@k	0.7857	0.0790
qwen2.5:3b	4	MRR@k	0.2887	0.0673
qwen2.5:3b	5	Overlap@k	1.6071	0.1948
qwen2.5:3b	5	Recall@k	0.3214	0.0390
qwen2.5:3b	5	Hit@k	0.8571	0.0673
qwen2.5:3b	5	MRR@k	0.2887	0.0673
qwen2.5:3b	6	Overlap@k	2.2143	0.2377
qwen2.5:3b	6	Recall@k	0.3690	0.0396
qwen2.5:3b	6	Hit@k	0.8929	0.0595
qwen2.5:3b	6	MRR@k	0.3006	0.0659
qwen2.5:3b	7	Overlap@k	2.7500	0.2703
qwen2.5:3b	7	Recall@k	0.3929	0.0386
qwen2.5:3b	7	Hit@k	0.8929	0.0595
qwen2.5:3b	7	MRR@k	0.3057	0.0652
qwen2.5:3b	8	Overlap@k	3.1429	0.3241
qwen2.5:3b	8	Recall@k	0.3929	0.0405
qwen2.5:3b	8	Hit@k	0.9286	0.0496
qwen2.5:3b	8	MRR@k	0.3057	0.0652
