model_tag	attempt_budget	metric	value
qwen3_4b	3	Hit@4	0.8214285714285714
qwen3_4b	4	Hit@4	0.8214285714285714
qwen3_4b	5	Hit@4	0.8214285714285714
qwen3_4b	1	MRR	0.2589285714285714
qwen3_4b	2	MRR	0.25297619047619047
qwen3_4b	3	MRR	0.2470238095238095
qwen3_4b	4	MRR	0.22916666666666666
qwen3_4b	5	MRR	0.22916666666666666
qwen2_5_3b	1	Overlap@4	0.75
qwen2_5_3b	2	Overlap@4	0.6785714285714286
qwen2_5_3b	3	Overlap@4	0.6785714285714286
qwen2_5_3b	4	Overlap@4	0.6785714285714286
qwen2_5_3b	5	Overlap@4	0.6785714285714286
qwen2_5_3b	1	Recall@4	0.1875
qwen2_5_3b	2	Recall@4	0.16964285714285715
qwen2_5_3b	3	Recall@4	0.16964285714285715
qwen2_5_3b	4	Recall@4	0.16964285714285715
qwen2_5_3b	5	Recall@4	0.16964285714285715
qwen2_5_3b	1	Hit@4	0.5714285714285714
qwen2_5_3b	2	Hit@4	0.5
qwen2_5_3b	3	Hit@4	0.5
qwen2_5_3b	4	Hit@4	0.5
qwen2_5_3b	5	Hit@4	0.5
qwen2_5_3b	1	MRR	0.13392857142857145
qwen2_5_3b	2	MRR	0.13392857142857145
qwen2_5_3b	3	MRR	0.13392857142857145
qwen2_5_3b	4	MRR	0.13392857142857145
qwen2_5_3b	5	MRR	0.13392857142857145
