citation,score,mentions
"(Shapley, 1951)",0.142857142857,1
"(Ebrahimi et al.,2024)",0.122619047619,1
"(Ebrahimi et al., 2024)",0.069484936832,3
"(Liu et al., 2023)",0.016885325559,3
"(Amayuelas et al., 2024)",0.015913508260,4
"(Liang et al., 2023a)",0.015913508260,3
"(Zhang et al., 2024a)",0.010932944606,2
"(Li et al., 2024a)",0.009961127308,3
"(Bhat et al., 2023)",0.009961127308,2
"(Li et al., 2024b)",0.009961127308,2
